"filename", "language", "JavaScript", "vue", "JSON", "SCSS", "comment", "blank", "total"
"d:\vue\bbs\src\App.vue", "vue", 0, 356, 0, 0, 6, 12, 374
"d:\vue\bbs\src\assets\font.scss", "SCSS", 0, 0, 0, 6, 0, 0, 6
"d:\vue\bbs\src\components\dev.vue", "vue", 0, 59, 0, 0, 0, 6, 65
"d:\vue\bbs\src\components\error.vue", "vue", 0, 51, 0, 0, 0, 6, 57
"d:\vue\bbs\src\components\newpost.vue", "vue", 0, 224, 0, 0, 0, 9, 233
"d:\vue\bbs\src\components\package.json", "JSON", 0, 0, 5, 0, 0, 1, 6
"d:\vue\bbs\src\components\preview.vue", "vue", 0, 120, 0, 0, 0, 5, 125
"d:\vue\bbs\src\components\read.vue", "vue", 0, 317, 0, 0, 0, 12, 329
"d:\vue\bbs\src\components\spt.vue", "vue", 0, 14, 0, 0, 0, 6, 20
"d:\vue\bbs\src\components\tags\login.vue", "vue", 0, 100, 0, 0, 0, 8, 108
"d:\vue\bbs\src\components\tags\me.vue", "vue", 0, 64, 0, 0, 0, 7, 71
"d:\vue\bbs\src\components\tags\reg.vue", "vue", 0, 91, 0, 0, 0, 8, 99
"d:\vue\bbs\src\global.js", "JavaScript", 17, 0, 0, 0, 5, 2, 24
"d:\vue\bbs\src\main.js", "JavaScript", 8, 0, 0, 0, 8, 2, 18
"d:\vue\bbs\src\router\index.js", "JavaScript", 43, 0, 0, 0, 3, 4, 50
"d:\vue\bbs\src\views\Home.vue", "vue", 0, 43, 0, 0, 1, 4, 48
"d:\vue\bbs\src\views\Theme.vue", "vue", 0, 107, 0, 0, 0, 4, 111
"d:\vue\bbs\src\views\Themes.vue", "vue", 0, 82, 0, 0, 0, 7, 89
"d:\vue\bbs\src\vue.config.js", "JavaScript", 12, 0, 0, 0, 1, 1, 14
"Total", "-", 80, 1628, 5, 6, 24, 104, 1847
